"","year","catcher","player_id","team_id","age","maxeff_arm_2b_3b_sba","exchange_2b_3b_sba","pop_2b_sba_count","pop_2b_sba","pop_2b_cs","pop_2b_sb","pop_3b_sba_count","pop_3b_sba","pop_3b_cs","pop_3b_sb"
"1",2022,"Matt Thaiss",NA,108,27,83.9,0.79,5,1.99,1.82,2.03,0,NA,NA,NA
"2",2022,"J.T. Realmuto",NA,143,31,87.6,0.67,44,1.82,1.83,1.82,1,1.4,NA,1.4
"3",2022,"Elias Díaz",NA,115,31,84.8,0.72,29,1.94,1.87,1.97,5,1.43,1.4,1.44
"4",2022,"Will Smith",NA,119,27,83.6,0.71,32,1.93,1.88,1.94,2,1.51,NA,1.51
"5",2022,"Chuckie Robinson",NA,113,27,86.3,0.73,11,1.9,1.89,1.9,1,1.54,NA,1.54
"6",2022,"Nick Fortes",NA,146,25,80.7,0.68,23,1.93,1.9,1.94,4,1.49,1.5,1.48
"7",2022,"Aramis Garcia",NA,113,29,84.7,0.78,15,1.95,1.9,1.96,2,1.45,1.44,1.45
"8",2022,"Meibrys Viloria",NA,140,25,83.2,0.72,13,1.93,1.9,1.96,0,NA,NA,NA
"9",2022,"Garrett Stubbs",NA,143,29,83.5,0.72,17,1.91,1.9,1.92,1,1.52,NA,1.52
"10",2022,"Sean Murphy",NA,133,27,86.1,0.72,33,1.89,1.91,1.88,1,1.4,1.4,NA
"11",2022,"Christian Bethancourt",NA,139,30,88.3,0.77,19,1.89,1.91,1.87,2,1.52,NA,1.52
"12",2022,"Gabriel Moreno",NA,141,22,81.8,0.69,14,1.92,1.91,1.92,1,1.64,NA,1.64
"13",2022,"Christian Vázquez",NA,117,31,80.4,0.67,37,1.94,1.92,1.95,2,1.5,1.55,1.45
"14",2022,"Connor Wong",NA,111,26,85.7,0.76,15,1.92,1.92,1.93,1,1.57,NA,1.57
"15",2022,"Shea Langeliers",NA,133,24,86.9,0.76,14,1.93,1.92,1.94,2,1.54,NA,1.54
"16",2022,"Francisco Mejía",NA,139,26,86.9,0.83,24,1.95,1.92,1.96,1,1.73,1.73,NA
"17",2022,"Gary Sanchez",NA,142,29,86.3,0.75,29,1.93,1.92,1.94,2,1.5,1.49,1.51
"18",2022,"Tyler Stephenson",NA,113,25,84,0.72,23,1.94,1.92,1.96,0,NA,NA,NA
"19",2022,"Martín Maldonado",NA,117,35,86,0.75,40,1.92,1.93,1.92,2,1.48,1.48,NA
"20",2022,"Willson Contreras",NA,112,30,86,0.72,23,1.93,1.93,1.92,1,1.47,1.47,NA
"21",2022,"Brian Serven",NA,115,27,81.6,0.77,27,2,1.94,2.02,5,1.54,1.49,1.58
"22",2022,"Kyle Higashioka",NA,147,32,80.1,0.69,22,1.95,1.94,1.97,1,1.54,NA,1.54
"23",2022,"MJ Melendez",NA,118,23,83,0.76,20,1.97,1.94,1.99,1,1.62,NA,1.62
"24",2022,"Jorge Alfaro",NA,135,29,88.2,0.74,16,1.89,1.95,1.88,3,1.5,NA,1.5
"25",2022,"Austin Hedges",NA,114,29,82.1,0.7,39,1.95,1.95,1.95,1,1.56,1.56,NA
"26",2022,"Jose Trevino",NA,147,29,77.8,0.68,29,1.99,1.95,2.01,1,1.54,NA,1.54
"27",2022,"Eric Haase",NA,116,29,83.2,0.75,29,1.95,1.95,1.94,1,1.52,NA,1.52
"28",2022,"Austin Nola",NA,135,32,81.4,0.75,35,2.01,1.95,2.01,5,1.62,1.49,1.65
"29",2022,"Adley Rutschman",NA,110,24,86.3,0.76,24,1.93,1.95,1.91,3,1.51,1.51,1.51
"30",2022,"Anthony Bemboom",NA,110,32,82.5,0.76,5,1.99,1.95,2,0,NA,NA,NA
"31",2022,"Daulton Varsho",NA,109,25,78.9,0.68,12,1.96,1.96,1.96,0,NA,NA,NA
"32",2022,"Andrew Knapp",NA,137,30,81.5,0.71,8,1.99,1.96,2,1,1.5,NA,1.5
"33",2022,"Riley Adams",NA,120,26,85.6,0.78,15,1.95,1.96,1.95,0,NA,NA,NA
"34",2022,"Danny Jansen",NA,141,27,82.2,0.73,22,1.98,1.96,1.98,1,1.63,NA,1.63
"35",2022,"Jason Delay",NA,134,27,78.6,0.7,31,1.99,1.96,2,0,NA,NA,NA
"36",2022,"Luke Maile",NA,114,31,83.4,0.75,31,1.96,1.96,1.96,4,1.54,1.57,1.52
"37",2022,"Jose Herrera",NA,109,25,83.9,0.73,11,1.94,1.96,1.92,4,1.5,1.48,1.52
"38",2022,"Tyler Heineman",NA,134,31,77.1,0.63,29,1.94,1.96,1.94,0,NA,NA,NA
"39",2022,"Seby Zavala",NA,145,28,82.2,0.74,14,1.97,1.97,1.97,3,1.58,1.55,1.59
"40",2022,"Carson Kelly",NA,109,27,81.5,0.75,39,1.98,1.97,1.99,2,1.49,1.57,1.42
"41",2022,"Sandy Leon",NA,142,33,78.1,0.67,14,1.98,1.97,1.98,0,NA,NA,NA
"42",2022,"Tomás Nido",NA,121,28,77.4,0.63,30,1.96,1.97,1.95,3,1.53,NA,1.53
"43",2022,"Reese McGuire",NA,111,27,80.2,0.67,34,1.97,1.97,1.97,1,1.5,NA,1.5
"44",2022,"Travis d'Arnaud",NA,144,33,82.2,0.78,36,1.99,1.97,2,2,1.61,1.57,1.65
"45",2022,"Cal Raleigh",NA,136,25,83.8,0.78,47,1.99,1.98,1.99,2,1.51,1.54,1.48
"46",2022,"Ryan Jeffers",NA,142,25,82.4,0.76,25,1.98,1.98,1.98,2,1.52,1.51,1.54
"47",2022,"Yan Gomes",NA,112,34,79.4,0.68,28,1.97,1.98,1.96,3,1.53,1.58,1.43
"48",2022,"Curt Casali",NA,136,33,78.3,0.72,12,2.01,1.99,2.02,1,1.71,NA,1.71
"49",2022,"Alejandro Kirk",NA,141,23,80.3,0.73,27,1.99,1.99,1.99,3,1.52,NA,1.52
"50",2022,"Salvador Perez",NA,118,32,82.9,0.71,18,1.99,1.99,1.99,4,1.48,1.48,1.49
"51",2022,"Keibert Ruiz",NA,120,23,79,0.73,45,2,1.99,2.01,3,1.58,1.63,1.5
"52",2022,"Joey Bart",NA,137,25,82.4,0.77,22,1.97,1.99,1.97,1,1.73,1.73,NA
"53",2022,"Tucker Barnhart",NA,116,31,79.3,0.68,37,1.99,1.99,1.98,2,1.62,1.54,1.7
"54",2022,"P.J. Higgins",NA,112,29,78.9,0.72,15,2.03,2,2.04,1,1.52,NA,1.52
"55",2022,"Jonah Heim",NA,140,27,83.7,0.79,46,1.99,2,1.99,5,1.54,1.5,1.54
"56",2022,"Jacob Stallings",NA,146,32,82.3,0.76,42,2,2,2,0,NA,NA,NA
"57",2022,"Victor Caratini",NA,158,28,79.8,0.75,34,2.01,2,2.02,1,1.58,NA,1.58
"58",2022,"Jason Castro",NA,117,35,80.7,0.73,11,1.97,2,1.96,1,1.56,1.56,NA
"59",2022,"Omar Narváez",NA,158,30,79,0.72,23,2.01,2,2.01,2,1.51,1.57,1.46
"60",2022,"Luis Torrens",NA,136,26,82.3,0.75,19,1.99,2.02,1.98,3,1.57,NA,1.57
"61",2022,"Dom Nuñez",NA,115,27,76.4,0.8,6,2.11,2.03,2.12,0,NA,NA,NA
"62",2022,"Michael Perez",NA,121,29,83.5,0.8,12,2,2.03,1.99,0,NA,NA,NA
"63",2022,"Yadier Molina",NA,138,39,79.9,0.77,19,2.05,2.03,2.06,1,1.95,1.95,NA
"64",2022,"Max Stassi",NA,108,31,80.3,0.73,33,2.03,2.03,2.03,3,1.57,1.6,1.56
"65",2022,"Cam Gallagher",NA,118,29,78.9,0.75,5,2.01,2.03,2,0,NA,NA,NA
"66",2022,"Andrew Knizner",NA,138,27,80.6,0.79,13,2.04,2.03,2.04,0,NA,NA,NA
"67",2022,"Austin Romine",NA,113,33,81.4,0.8,18,2.08,2.04,2.08,5,1.58,1.57,1.6
"68",2022,"Robinson Chirinos",NA,110,38,78.9,0.77,20,2.04,2.04,2.04,3,1.6,1.59,1.61
"69",2022,"Michael Papierski",NA,113,26,78.1,0.78,21,2.08,2.04,2.08,1,1.6,NA,1.6
"70",2022,"Austin Barnes",NA,119,32,75.6,0.68,17,2.06,2.04,2.07,2,1.61,NA,1.61
"71",2022,"Zack Collins",NA,134,27,78.4,0.73,6,2.03,2.05,2.01,0,NA,NA,NA
"72",2022,"James McCann",NA,121,32,80.7,0.73,18,2.03,2.05,2.01,0,NA,NA,NA
"73",2022,"Mike Zunino",NA,139,31,75,0.7,13,2.03,2.06,2.03,3,1.51,1.5,1.52
"74",2022,"Yasmani Grandal",NA,145,33,76.5,0.76,28,2.09,2.06,2.1,3,1.64,1.67,1.62
"75",2022,"Kurt Suzuki",NA,108,38,80.2,0.81,16,2.07,2.07,2.07,1,1.63,NA,1.63
"76",2022,"Patrick Mazeika",NA,121,28,76.4,0.71,6,2.06,2.09,2.04,1,1.7,NA,1.7
"77",2022,"William Contreras",NA,144,24,81.9,0.72,18,1.97,2.1,1.95,2,1.52,1.53,1.5
"78",2022,"Kevin Plawecki",NA,140,31,75.9,0.75,29,2.11,2.1,2.11,0,NA,NA,NA
"79",2022,"Stephen Vogt",NA,133,37,72.3,0.68,7,2.12,2.14,2.11,2,1.58,1.57,1.6
"80",2022,"Austin Wynns",NA,137,31,78.7,0.76,15,2.04,2.15,2.01,1,1.52,NA,1.52
"81",2022,"Tres Barrera",NA,120,27,76.7,0.75,8,2.05,2.23,2.02,2,1.69,NA,1.69
"82",2022,"Mitch Garver",NA,140,31,81,0.81,8,2.04,2.33,2,0,NA,NA,NA
"83",2022,"René Pinto",NA,139,25,83.4,0.72,5,1.89,NA,1.89,0,NA,NA,NA
"84",2022,"Sam Huff",NA,140,24,88.1,0.83,11,2,NA,2,5,1.5,1.47,1.55
